"event","quarter","id","industry","bin","p","time","Year","Quarter","resolution","realization","binL","binH","binValue"
1983,1,41,"#N/A",1,0.5,1982.125,NA,NA,1,NA,1,1,1
1983,2,41,"#N/A",1,0.75,1982.375,NA,NA,1,NA,1,1,1
1983.25,1,41,"#N/A",1,0.1,1982.125,NA,NA,1,NA,1,1,1
1983.25,2,41,"#N/A",1,0.5,1982.375,NA,NA,1,NA,1,1,1
1983.25,4,41,"#N/A",1,0.3,1982.875,NA,NA,1,NA,1,1,1
1983.5,2,41,"#N/A",1,0.4,1982.375,NA,NA,1,NA,1,1,1
1983.5,4,41,"#N/A",1,0.5,1982.875,NA,NA,1,NA,1,1,1
1983.5,2,41,"#N/A",1,0.1,1983.375,NA,NA,1,NA,1,1,1
1983.75,4,41,"#N/A",1,0.3,1982.875,NA,NA,1,NA,1,1,1
1983.75,2,41,"#N/A",1,0.1,1983.375,NA,NA,1,NA,1,1,1
1984,4,41,"#N/A",1,0.3,1982.875,NA,NA,1,NA,1,1,1
1984,2,41,"#N/A",1,0.1,1983.375,NA,NA,1,NA,1,1,1
1984.25,2,41,"#N/A",1,0.1,1983.375,NA,NA,1,NA,1,1,1
1984.25,4,41,"#N/A",1,0.3,1983.875,NA,NA,1,NA,1,1,1
1984.5,2,41,"#N/A",1,0.1,1983.375,NA,NA,1,NA,1,1,1
1984.5,4,41,"#N/A",1,0.2,1983.875,NA,NA,1,NA,1,1,1
1985,4,41,"#N/A",1,0.1,1983.875,NA,NA,1,NA,1,1,1
1985,1,41,"#N/A",1,0.1,1984.125,NA,NA,1,NA,1,1,1
1985,2,41,"#N/A",1,0.2,1984.375,NA,NA,1,NA,1,1,1
1985.25,1,41,"#N/A",1,0.2,1984.125,NA,NA,1,NA,1,1,1
1985.25,2,41,"#N/A",1,0.3,1984.375,NA,NA,1,NA,1,1,1
1985.5,2,41,"#N/A",1,0.5,1984.375,NA,NA,1,NA,1,1,1
1985.5,1,41,"#N/A",1,0.2,1985.125,NA,NA,1,NA,1,1,1
1985.75,1,41,"#N/A",1,0.3,1985.125,NA,NA,1,NA,1,1,1
1986,1,41,"#N/A",1,0.4,1985.125,NA,NA,1,NA,1,1,1
1986.25,1,41,"#N/A",1,0.5,1985.125,NA,NA,1,NA,1,1,1
1986.25,2,41,"#N/A",1,0.3,1985.375,NA,NA,1,NA,1,1,1
1986.5,2,41,"#N/A",1,0.5,1985.375,NA,NA,1,NA,1,1,1
1987.25,1,41,"#N/A",1,0.5,1986.125,NA,NA,1,NA,1,1,1
1987.25,2,41,"#N/A",1,0.1,1986.375,NA,NA,1,NA,1,1,1
1987.5,2,41,"#N/A",1,0.2,1986.375,NA,NA,1,NA,1,1,1
1987.5,4,41,"#N/A",1,0.1,1986.875,NA,NA,1,NA,1,1,1
1987.75,4,41,"#N/A",1,0.2,1986.875,NA,NA,1,NA,1,1,1
1988,4,41,"#N/A",1,0.2,1986.875,NA,NA,1,NA,1,1,1
1988.25,2,41,"#N/A",1,0.2,1987.375,NA,NA,1,NA,1,1,1
1988.25,4,41,"#N/A",1,0.2,1987.875,NA,NA,1,NA,1,1,1
1988.5,2,41,"#N/A",1,0.3,1987.375,NA,NA,1,NA,1,1,1
1988.5,4,41,"#N/A",1,0.2,1987.875,NA,NA,1,NA,1,1,1
1988.75,4,41,"#N/A",1,0.2,1987.875,NA,NA,1,NA,1,1,1
1989,4,41,"#N/A",1,0.4,1987.875,NA,NA,1,NA,1,1,1
1989,2,41,"#N/A",1,0.1,1988.375,NA,NA,1,NA,1,1,1
1989.25,2,41,"#N/A",1,0.25,1988.375,NA,NA,1,NA,1,1,1
1989.5,2,41,"#N/A",1,0.35,1988.375,NA,NA,1,NA,1,1,1
1990.25,2,41,"#N/A",1,0.4,1989.375,NA,NA,1,NA,1,1,1
1990.5,2,41,"#N/A",1,0.6,1989.375,NA,NA,1,NA,1,1,1
1990.75,5,41,"#N/A",1,1,1990.749,1990,3,2,1,1,1,1
1991,5,41,"#N/A",1,1,1990.999,1990,4,2,1,1,1,1
1991.25,1,41,"#N/A",1,0.2,1990.125,1991,1,1,1,1,1,1
1991.25,5,41,"#N/A",1,1,1991.249,1991,1,2,1,1,1,1
1969.75,1,42,"#N/A",1,0.3,1969.125,NA,NA,1,NA,1,1,1
1970,1,42,"#N/A",1,0.2,1969.125,1969,4,1,1,1,1,1
1970,5,42,"#N/A",1,1,1969.999,1969,4,2,1,1,1,1
1970.25,2,42,"#N/A",1,0.2,1969.375,1970,1,1,1,1,1,1
1970.25,5,42,"#N/A",1,1,1970.249,1970,1,2,1,1,1,1
1970.5,2,42,"#N/A",1,0.2,1969.375,NA,NA,1,NA,1,1,1
1970.75,3,42,"#N/A",1,0.2,1970.625,NA,NA,1,NA,1,1,1
1971,3,42,"#N/A",1,0.1,1970.625,1970,4,1,1,1,1,1
1971,4,42,"#N/A",1,0.9,1970.875,1970,4,1,1,1,1,1
1971,5,42,"#N/A",1,1,1970.999,1970,4,2,1,1,1,1
1971.25,4,42,"#N/A",1,0.2,1970.875,NA,NA,1,NA,1,1,1
1971.5,4,42,"#N/A",1,0.1,1970.875,NA,NA,1,NA,1,1,1
1971.75,4,42,"#N/A",1,0.3,1970.875,NA,NA,1,NA,1,1,1
1971.75,1,42,"#N/A",1,0.25,1971.125,NA,NA,1,NA,1,1,1
1972,4,42,"#N/A",1,0.35,1970.875,NA,NA,1,NA,1,1,1
1972,4,42,"#N/A",1,0.06,1971.875,NA,NA,1,NA,1,1,1
1973.25,1,42,"#N/A",1,0.1,1972.125,NA,NA,1,NA,1,1,1
1973.25,4,42,"#N/A",1,0.05,1972.875,NA,NA,1,NA,1,1,1
1973.5,4,42,"#N/A",1,0.1,1972.875,NA,NA,1,NA,1,1,1
1973.75,3,42,"#N/A",1,0.1,1972.625,1973,3,1,1,1,1,1
1973.75,4,42,"#N/A",1,0.15,1972.875,1973,3,1,1,1,1,1
1973.75,1,42,"#N/A",1,0.1,1973.125,1973,3,1,1,1,1,1
1973.75,2,42,"#N/A",1,0.2,1973.375,1973,3,1,1,1,1,1
1973.75,5,42,"#N/A",1,1,1973.749,1973,3,2,1,1,1,1
1974,4,42,"#N/A",1,0.2,1972.875,NA,NA,1,NA,1,1,1
1974,1,42,"#N/A",1,0.3,1973.125,NA,NA,1,NA,1,1,1
1974,2,42,"#N/A",1,0.3,1973.375,NA,NA,1,NA,1,1,1
1974.25,1,42,"#N/A",1,0.4,1973.125,1974,1,1,1,1,1,1
1974.25,2,42,"#N/A",1,0.4,1973.375,1974,1,1,1,1,1,1
1974.25,4,42,"#N/A",1,0.6,1973.875,1974,1,1,1,1,1,1
1974.25,1,42,"#N/A",1,1,1974.125,1974,1,1,1,1,1,1
1974.25,5,42,"#N/A",1,1,1974.249,1974,1,2,1,1,1,1
1974.5,2,42,"#N/A",1,0.45,1973.375,NA,NA,1,NA,1,1,1
1974.5,4,42,"#N/A",1,0.4,1973.875,NA,NA,1,NA,1,1,1
1974.5,1,42,"#N/A",1,0.75,1974.125,NA,NA,1,NA,1,1,1
1974.5,2,42,"#N/A",1,0.75,1974.375,NA,NA,1,NA,1,1,1
1974.75,1,42,"#N/A",1,0.5,1974.125,1974,3,1,1,1,1,1
1974.75,2,42,"#N/A",1,0.6,1974.375,1974,3,1,1,1,1,1
1974.75,5,42,"#N/A",1,1,1974.749,1974,3,2,1,1,1,1
1975,1,42,"#N/A",1,0.25,1974.125,1974,4,1,1,1,1,1
1975,2,42,"#N/A",1,0.4,1974.375,1974,4,1,1,1,1,1
1975,5,42,"#N/A",1,1,1974.999,1974,4,2,1,1,1,1
1975.25,1,42,"#N/A",1,0.25,1974.125,1975,1,1,1,1,1,1
1975.25,2,42,"#N/A",1,0.2,1974.375,1975,1,1,1,1,1,1
1975.25,5,42,"#N/A",1,1,1975.249,1975,1,2,1,1,1,1
1975.5,2,42,"#N/A",1,0.1,1974.375,NA,NA,1,NA,1,1,1
1976,4,42,"#N/A",1,0.2,1975.875,NA,NA,1,NA,1,1,1
1976.25,4,42,"#N/A",1,0.3,1975.875,NA,NA,1,NA,1,1,1
1976.5,4,42,"#N/A",1,0.4,1975.875,NA,NA,1,NA,1,1,1
1976.75,4,42,"#N/A",1,0.4,1975.875,NA,NA,1,NA,1,1,1
1976.75,1,42,"#N/A",1,0.05,1976.125,NA,NA,1,NA,1,1,1
1977,4,42,"#N/A",1,0.5,1975.875,NA,NA,1,NA,1,1,1
1977,1,42,"#N/A",1,0.1,1976.125,NA,NA,1,NA,1,1,1
1977,2,42,"#N/A",1,0.1,1976.375,NA,NA,1,NA,1,1,1
1977.25,1,42,"#N/A",1,0.1,1976.125,NA,NA,1,NA,1,1,1
1977.25,2,42,"#N/A",1,0.2,1976.375,NA,NA,1,NA,1,1,1
1977.5,2,42,"#N/A",1,0.2,1976.375,NA,NA,1,NA,1,1,1
1977.75,3,42,"#N/A",1,0.05,1977.625,NA,NA,1,NA,1,1,1
1978,3,42,"#N/A",1,0.05,1977.625,1977,4,1,1,1,1,1
1978,5,42,"#N/A",1,1,1977.999,1977,4,2,1,1,1,1
1978.25,2,42,"#N/A",1,0.1,1977.375,NA,NA,1,NA,1,1,1
1978.25,3,42,"#N/A",1,0.1,1977.625,NA,NA,1,NA,1,1,1
1978.25,4,42,"#N/A",1,0.1,1977.875,NA,NA,1,NA,1,1,1
1978.5,2,42,"#N/A",1,0.2,1977.375,NA,NA,1,NA,1,1,1
1978.5,3,42,"#N/A",1,0.2,1977.625,NA,NA,1,NA,1,1,1
1978.5,4,42,"#N/A",1,0.2,1977.875,NA,NA,1,NA,1,1,1
1978.75,3,42,"#N/A",1,0.3,1977.625,NA,NA,1,NA,1,1,1
1978.75,4,42,"#N/A",1,0.3,1977.875,NA,NA,1,NA,1,1,1
1979,4,42,"#N/A",1,0.4,1977.875,NA,NA,1,NA,1,1,1
1979,3,42,"#N/A",1,0.1,1978.625,NA,NA,1,NA,1,1,1
1979.25,3,42,"#N/A",1,0.2,1978.625,NA,NA,1,NA,1,1,1
1979.25,1,42,"#N/A",1,0.05,1979.125,NA,NA,1,NA,1,1,1
1979.5,3,42,"#N/A",1,0.3,1978.625,NA,NA,1,NA,1,1,1
1979.5,1,42,"#N/A",1,0.2,1979.125,NA,NA,1,NA,1,1,1
1979.75,3,42,"#N/A",1,0.7,1978.625,NA,NA,1,NA,1,1,1
1979.75,1,42,"#N/A",1,0.6,1979.125,NA,NA,1,NA,1,1,1
1979.75,3,42,"#N/A",1,0.6,1979.625,NA,NA,1,NA,1,1,1
1980,1,42,"#N/A",1,0.1,1979.125,NA,NA,1,NA,1,1,1
1980,3,42,"#N/A",1,0.4,1979.625,NA,NA,1,NA,1,1,1
1980.25,1,42,"#N/A",1,0.05,1979.125,NA,NA,1,NA,1,1,1
1980.25,3,42,"#N/A",1,0.5,1979.625,NA,NA,1,NA,1,1,1
1980.5,3,42,"#N/A",1,0.1,1979.625,1980,2,1,1,1,1,1
1980.5,5,42,"#N/A",1,1,1980.499,1980,2,2,1,1,1,1
1980.75,2,42,"#N/A",1,0.1,1980.375,1980,3,1,1,1,1,1
1980.75,3,42,"#N/A",1,0.7,1980.625,1980,3,1,1,1,1,1
1980.75,5,42,"#N/A",1,1,1980.749,1980,3,2,1,1,1,1
1981,2,42,"#N/A",1,0.1,1980.375,NA,NA,1,NA,1,1,1
1981,3,42,"#N/A",1,0.3,1980.625,NA,NA,1,NA,1,1,1
1981.25,2,42,"#N/A",1,0.1,1980.375,NA,NA,1,NA,1,1,1
1981.25,4,42,"#N/A",1,0.1,1980.875,NA,NA,1,NA,1,1,1
1981.5,2,42,"#N/A",1,0.1,1980.375,1981,2,1,1,1,1,1
1981.5,4,42,"#N/A",1,0.1,1980.875,1981,2,1,1,1,1,1
1981.5,5,42,"#N/A",1,1,1981.499,1981,2,2,1,1,1,1
1981.75,4,42,"#N/A",1,0.1,1980.875,NA,NA,1,NA,1,1,1
1982,4,42,"#N/A",1,0.45,1981.875,1981,4,1,1,1,1,1
1982,5,42,"#N/A",1,1,1981.999,1981,4,2,1,1,1,1
1982.25,4,42,"#N/A",1,0.75,1981.875,1982,1,1,1,1,1,1
1982.25,5,42,"#N/A",1,1,1982.249,1982,1,2,1,1,1,1
1982.5,4,42,"#N/A",1,0.6,1981.875,NA,NA,1,NA,1,1,1
1982.75,4,42,"#N/A",1,0.5,1981.875,1982,3,1,1,1,1,1
1982.75,5,42,"#N/A",1,1,1982.749,1982,3,2,1,1,1,1
1983,4,42,"#N/A",1,0.25,1981.875,NA,NA,1,NA,1,1,1
1983.25,1,42,"#N/A",1,0.05,1983.125,NA,NA,1,NA,1,1,1
1983.5,1,42,"#N/A",1,0.25,1983.125,NA,NA,1,NA,1,1,1
1983.75,1,42,"#N/A",1,0.15,1983.125,NA,NA,1,NA,1,1,1
1984,1,42,"#N/A",1,0.05,1983.125,NA,NA,1,NA,1,1,1
1984.25,1,42,"#N/A",1,0.05,1983.125,NA,NA,1,NA,1,1,1
1985,3,42,"#N/A",1,0.1,1984.625,NA,NA,1,NA,1,1,1
1985.25,3,42,"#N/A",1,0.05,1984.625,NA,NA,1,NA,1,1,1
1985.5,3,42,"#N/A",1,0.2,1984.625,NA,NA,1,NA,1,1,1
1985.75,3,42,"#N/A",1,0.4,1984.625,NA,NA,1,NA,1,1,1
1969.75,4,43,"#N/A",1,0.1,1968.875,NA,NA,1,NA,1,1,1
1970,4,43,"#N/A",1,0.1,1968.875,1969,4,1,1,1,1,1
1970,5,43,"#N/A",1,1,1969.999,1969,4,2,1,1,1,1
1970.25,5,43,"#N/A",1,1,1970.249,1970,1,2,1,1,1,1
1971,5,43,"#N/A",1,1,1970.999,1970,4,2,1,1,1,1
1971.5,2,43,"#N/A",1,0.1,1971.375,NA,NA,1,NA,1,1,1
1971.75,3,43,"#N/A",1,0.05,1971.625,NA,NA,1,NA,1,1,1
1974.25,1,43,"#N/A",1,0.1,1974.125,1974,1,1,1,1,1,1
1974.25,5,43,"#N/A",1,1,1974.249,1974,1,2,1,1,1,1
1974.5,1,43,"#N/A",1,0.15,1974.125,NA,NA,1,NA,1,1,1
1974.5,2,43,"#N/A",1,0.6,1974.375,NA,NA,1,NA,1,1,1
1974.75,2,43,"#N/A",1,0.4,1974.375,1974,3,1,1,1,1,1
1974.75,3,43,"#N/A",1,0.5,1974.625,1974,3,1,1,1,1,1
1974.75,5,43,"#N/A",1,1,1974.749,1974,3,2,1,1,1,1
1975,1,43,"#N/A",1,0.1,1974.125,1974,4,1,1,1,1,1
1975,2,43,"#N/A",1,0.2,1974.375,1974,4,1,1,1,1,1
1975,3,43,"#N/A",1,0.5,1974.625,1974,4,1,1,1,1,1
1975,4,43,"#N/A",1,0.8,1974.875,1974,4,1,1,1,1,1
1975,5,43,"#N/A",1,1,1974.999,1974,4,2,1,1,1,1
1975.25,1,43,"#N/A",1,0.1,1974.125,1975,1,1,1,1,1,1
1975.25,2,43,"#N/A",1,0.1,1974.375,1975,1,1,1,1,1,1
1975.25,3,43,"#N/A",1,0.4,1974.625,1975,1,1,1,1,1,1
1975.25,4,43,"#N/A",1,0.7,1974.875,1975,1,1,1,1,1,1
1975.25,5,43,"#N/A",1,1,1975.249,1975,1,2,1,1,1,1
1975.5,2,43,"#N/A",1,0.1,1974.375,NA,NA,1,NA,1,1,1
1975.5,3,43,"#N/A",1,0.3,1974.625,NA,NA,1,NA,1,1,1
1975.5,4,43,"#N/A",1,0.5,1974.875,NA,NA,1,NA,1,1,1
1975.5,2,43,"#N/A",1,0.4,1975.375,NA,NA,1,NA,1,1,1
1975.75,4,43,"#N/A",1,0.5,1974.875,NA,NA,1,NA,1,1,1
1975.75,2,43,"#N/A",1,0.1,1975.375,NA,NA,1,NA,1,1,1
1975.75,3,43,"#N/A",1,0.2,1975.625,NA,NA,1,NA,1,1,1
1976,4,43,"#N/A",1,0.5,1974.875,NA,NA,1,NA,1,1,1
1976,2,43,"#N/A",1,0.1,1975.375,NA,NA,1,NA,1,1,1
1976,3,43,"#N/A",1,0.1,1975.625,NA,NA,1,NA,1,1,1
1976,4,43,"#N/A",1,0.05,1975.875,NA,NA,1,NA,1,1,1
1976.25,2,43,"#N/A",1,0.1,1975.375,NA,NA,1,NA,1,1,1
1976.25,3,43,"#N/A",1,0.05,1975.625,NA,NA,1,NA,1,1,1
1976.5,3,43,"#N/A",1,0.05,1975.625,NA,NA,1,NA,1,1,1
1976.5,1,43,"#N/A",1,0.1,1976.125,NA,NA,1,NA,1,1,1
1977.25,1,43,"#N/A",1,0.4,1977.125,NA,NA,1,NA,1,1,1
1977.5,1,43,"#N/A",1,0.4,1977.125,NA,NA,1,NA,1,1,1
1977.75,1,43,"#N/A",1,0.1,1977.125,NA,NA,1,NA,1,1,1
1978,1,43,"#N/A",1,0.1,1977.125,1977,4,1,1,1,1,1
1978,5,43,"#N/A",1,1,1977.999,1977,4,2,1,1,1,1
1979.25,4,43,"#N/A",1,0.1,1978.875,NA,NA,1,NA,1,1,1
1979.25,1,43,"#N/A",1,0.1,1979.125,NA,NA,1,NA,1,1,1
1979.75,3,43,"#N/A",1,0.99,1979.625,NA,NA,1,NA,1,1,1
1980,3,43,"#N/A",1,0.5,1979.625,NA,NA,1,NA,1,1,1
1980,4,43,"#N/A",1,0.99,1979.875,NA,NA,1,NA,1,1,1
1980.25,3,43,"#N/A",1,0.25,1979.625,NA,NA,1,NA,1,1,1
1980.25,4,43,"#N/A",1,0.6,1979.875,NA,NA,1,NA,1,1,1
1980.5,3,43,"#N/A",1,0.1,1979.625,1980,2,1,1,1,1,1
1980.5,4,43,"#N/A",1,0.25,1979.875,1980,2,1,1,1,1,1
1980.5,5,43,"#N/A",1,1,1980.499,1980,2,2,1,1,1,1
1980.75,4,43,"#N/A",1,0.1,1979.875,1980,3,1,1,1,1,1
1980.75,3,43,"#N/A",1,0.2,1980.625,1980,3,1,1,1,1,1
1980.75,5,43,"#N/A",1,1,1980.749,1980,3,2,1,1,1,1
1981,3,43,"#N/A",1,0.1,1980.625,NA,NA,1,NA,1,1,1
1981.25,3,43,"#N/A",1,0.1,1980.625,NA,NA,1,NA,1,1,1
1981.5,3,43,"#N/A",1,0.1,1980.625,1981,2,1,1,1,1,1
1981.5,5,43,"#N/A",1,1,1981.499,1981,2,2,1,1,1,1
1981.75,3,43,"#N/A",1,0.5,1981.625,NA,NA,1,NA,1,1,1
1982,3,43,"#N/A",1,0.3,1981.625,1981,4,1,1,1,1,1
1982,5,43,"#N/A",1,1,1981.999,1981,4,2,1,1,1,1
1982.25,3,43,"#N/A",1,0.1,1981.625,1982,1,1,1,1,1,1
1982.25,5,43,"#N/A",1,1,1982.249,1982,1,2,1,1,1,1
1982.5,3,43,"#N/A",1,0.1,1981.625,NA,NA,1,NA,1,1,1
1982.75,3,43,"#N/A",1,0.1,1981.625,1982,3,1,1,1,1,1
1982.75,3,43,"#N/A",1,0.1,1982.625,1982,3,1,1,1,1,1
1982.75,5,43,"#N/A",1,1,1982.749,1982,3,2,1,1,1,1
1983,3,43,"#N/A",1,0.3,1982.625,NA,NA,1,NA,1,1,1
1983,4,43,"#N/A",1,0.05,1982.875,NA,NA,1,NA,1,1,1
1983.25,3,43,"#N/A",1,0.3,1982.625,NA,NA,1,NA,1,1,1
1983.25,4,43,"#N/A",1,0.3,1982.875,NA,NA,1,NA,1,1,1
1983.25,1,43,"#N/A",1,0.3,1983.125,NA,NA,1,NA,1,1,1
1983.5,3,43,"#N/A",1,0.4,1982.625,NA,NA,1,NA,1,1,1
1983.5,4,43,"#N/A",1,0.4,1982.875,NA,NA,1,NA,1,1,1
1983.5,1,43,"#N/A",1,0.25,1983.125,NA,NA,1,NA,1,1,1
1983.5,2,43,"#N/A",1,0.1,1983.375,NA,NA,1,NA,1,1,1
1983.75,3,43,"#N/A",1,0.4,1982.625,NA,NA,1,NA,1,1,1
1983.75,4,43,"#N/A",1,0.3,1982.875,NA,NA,1,NA,1,1,1
1983.75,1,43,"#N/A",1,0.2,1983.125,NA,NA,1,NA,1,1,1
1983.75,2,43,"#N/A",1,0.2,1983.375,NA,NA,1,NA,1,1,1
1984,4,43,"#N/A",1,0.3,1982.875,NA,NA,1,NA,1,1,1
1984,1,43,"#N/A",1,0.2,1983.125,NA,NA,1,NA,1,1,1
1984,2,43,"#N/A",1,0.2,1983.375,NA,NA,1,NA,1,1,1
1984,3,43,"#N/A",1,0.1,1983.625,NA,NA,1,NA,1,1,1
1984,4,43,"#N/A",1,0.05,1983.875,NA,NA,1,NA,1,1,1
1984.25,1,43,"#N/A",1,0.2,1983.125,NA,NA,1,NA,1,1,1
1984.25,2,43,"#N/A",1,0.25,1983.375,NA,NA,1,NA,1,1,1
1984.25,3,43,"#N/A",1,0.2,1983.625,NA,NA,1,NA,1,1,1
1984.25,4,43,"#N/A",1,0.15,1983.875,NA,NA,1,NA,1,1,1
1984.25,1,43,"#N/A",1,0.05,1984.125,NA,NA,1,NA,1,1,1
1984.5,2,43,"#N/A",1,0.2,1983.375,NA,NA,1,NA,1,1,1
1984.5,3,43,"#N/A",1,0.25,1983.625,NA,NA,1,NA,1,1,1
1984.5,4,43,"#N/A",1,0.25,1983.875,NA,NA,1,NA,1,1,1
1984.5,1,43,"#N/A",1,0.1,1984.125,NA,NA,1,NA,1,1,1
1984.5,2,43,"#N/A",1,0.1,1984.375,NA,NA,1,NA,1,1,1
1984.75,3,43,"#N/A",1,0.2,1983.625,NA,NA,1,NA,1,1,1
1984.75,4,43,"#N/A",1,0.15,1983.875,NA,NA,1,NA,1,1,1
1984.75,1,43,"#N/A",1,0.15,1984.125,NA,NA,1,NA,1,1,1
1984.75,2,43,"#N/A",1,0.15,1984.375,NA,NA,1,NA,1,1,1
1984.75,3,43,"#N/A",1,0.1,1984.625,NA,NA,1,NA,1,1,1
1985,4,43,"#N/A",1,0.15,1983.875,NA,NA,1,NA,1,1,1
1985,1,43,"#N/A",1,0.15,1984.125,NA,NA,1,NA,1,1,1
1985,2,43,"#N/A",1,0.15,1984.375,NA,NA,1,NA,1,1,1
1985,3,43,"#N/A",1,0.15,1984.625,NA,NA,1,NA,1,1,1
1985,4,43,"#N/A",1,0.3,1984.875,NA,NA,1,NA,1,1,1
1985.25,1,43,"#N/A",1,0.15,1984.125,NA,NA,1,NA,1,1,1
1985.25,2,43,"#N/A",1,0.15,1984.375,NA,NA,1,NA,1,1,1
1985.25,3,43,"#N/A",1,0.2,1984.625,NA,NA,1,NA,1,1,1
1985.25,4,43,"#N/A",1,0.3,1984.875,NA,NA,1,NA,1,1,1
1985.25,1,43,"#N/A",1,0.01,1985.125,NA,NA,1,NA,1,1,1
1985.5,2,43,"#N/A",1,0.15,1984.375,NA,NA,1,NA,1,1,1
1985.5,3,43,"#N/A",1,0.25,1984.625,NA,NA,1,NA,1,1,1
1985.5,4,43,"#N/A",1,0.3,1984.875,NA,NA,1,NA,1,1,1
1985.5,1,43,"#N/A",1,0.05,1985.125,NA,NA,1,NA,1,1,1
1985.5,2,43,"#N/A",1,0.1,1985.375,NA,NA,1,NA,1,1,1
1985.75,3,43,"#N/A",1,0.3,1984.625,NA,NA,1,NA,1,1,1
1985.75,4,43,"#N/A",1,0.3,1984.875,NA,NA,1,NA,1,1,1
1985.75,1,43,"#N/A",1,0.05,1985.125,NA,NA,1,NA,1,1,1
1985.75,2,43,"#N/A",1,0.15,1985.375,NA,NA,1,NA,1,1,1
1985.75,3,43,"#N/A",1,0.2,1985.625,NA,NA,1,NA,1,1,1
1986,4,43,"#N/A",1,0.3,1984.875,NA,NA,1,NA,1,1,1
1986,1,43,"#N/A",1,0.1,1985.125,NA,NA,1,NA,1,1,1
1986,2,43,"#N/A",1,0.2,1985.375,NA,NA,1,NA,1,1,1
1986,3,43,"#N/A",1,0.25,1985.625,NA,NA,1,NA,1,1,1
1986,4,43,"#N/A",1,0.05,1985.875,NA,NA,1,NA,1,1,1
1986.25,1,43,"#N/A",1,0.15,1985.125,NA,NA,1,NA,1,1,1
1986.25,2,43,"#N/A",1,0.25,1985.375,NA,NA,1,NA,1,1,1
1986.25,3,43,"#N/A",1,0.35,1985.625,NA,NA,1,NA,1,1,1
1986.25,4,43,"#N/A",1,0.1,1985.875,NA,NA,1,NA,1,1,1
1986.25,1,43,"#N/A",1,0.01,1986.125,NA,NA,1,NA,1,1,1
1986.5,2,43,"#N/A",1,0.3,1985.375,NA,NA,1,NA,1,1,1
1986.5,3,43,"#N/A",1,0.15,1985.625,NA,NA,1,NA,1,1,1
1986.5,4,43,"#N/A",1,0.15,1985.875,NA,NA,1,NA,1,1,1
1986.5,1,43,"#N/A",1,0.03,1986.125,NA,NA,1,NA,1,1,1
1986.75,3,43,"#N/A",1,0.1,1985.625,NA,NA,1,NA,1,1,1
1986.75,4,43,"#N/A",1,0.1,1985.875,NA,NA,1,NA,1,1,1
1986.75,1,43,"#N/A",1,0.08,1986.125,NA,NA,1,NA,1,1,1
1986.75,3,43,"#N/A",1,0.15,1986.625,NA,NA,1,NA,1,1,1
1987,4,43,"#N/A",1,0.05,1985.875,NA,NA,1,NA,1,1,1
1987,1,43,"#N/A",1,0.08,1986.125,NA,NA,1,NA,1,1,1
1987,3,43,"#N/A",1,0.15,1986.625,NA,NA,1,NA,1,1,1
1987.25,1,43,"#N/A",1,0.12,1986.125,NA,NA,1,NA,1,1,1
1987.25,3,43,"#N/A",1,0.2,1986.625,NA,NA,1,NA,1,1,1
1987.25,4,43,"#N/A",1,0.05,1986.875,NA,NA,1,NA,1,1,1
1987.5,3,43,"#N/A",1,0.2,1986.625,NA,NA,1,NA,1,1,1
1987.5,4,43,"#N/A",1,0.1,1986.875,NA,NA,1,NA,1,1,1
1987.75,3,43,"#N/A",1,0.12,1986.625,NA,NA,1,NA,1,1,1
1987.75,4,43,"#N/A",1,0.15,1986.875,NA,NA,1,NA,1,1,1
1988,4,43,"#N/A",1,0.15,1986.875,NA,NA,1,NA,1,1,1
1988,2,43,"#N/A",1,0.05,1987.375,NA,NA,1,NA,1,1,1
1988.25,2,43,"#N/A",1,0.15,1987.375,NA,NA,1,NA,1,1,1
1988.25,4,43,"#N/A",1,0.2,1987.875,NA,NA,1,NA,1,1,1
1988.5,2,43,"#N/A",1,0.35,1987.375,NA,NA,1,NA,1,1,1
1988.5,4,43,"#N/A",1,0.3,1987.875,NA,NA,1,NA,1,1,1
1988.75,4,43,"#N/A",1,0.3,1987.875,NA,NA,1,NA,1,1,1
1989,4,43,"#N/A",1,0.5,1987.875,NA,NA,1,NA,1,1,1
1989.25,3,43,"#N/A",1,0.1,1988.625,NA,NA,1,NA,1,1,1
1989.5,3,43,"#N/A",1,0.1,1988.625,NA,NA,1,NA,1,1,1
1989.75,3,43,"#N/A",1,0.1,1988.625,NA,NA,1,NA,1,1,1
1969.5,1,44,"#N/A",1,0.2,1969.125,NA,NA,1,NA,1,1,1
1969.75,1,44,"#N/A",1,0.3,1969.125,NA,NA,1,NA,1,1,1
1969.75,3,44,"#N/A",1,0.25,1969.625,NA,NA,1,NA,1,1,1
1970,1,44,"#N/A",1,0.2,1969.125,1969,4,1,1,1,1,1
1970,3,44,"#N/A",1,0.33,1969.625,1969,4,1,1,1,1,1
1970,5,44,"#N/A",1,1,1969.999,1969,4,2,1,1,1,1
1970.25,3,44,"#N/A",1,0.33,1969.625,1970,1,1,1,1,1,1
1970.25,1,44,"#N/A",1,0.67,1970.125,1970,1,1,1,1,1,1
1970.25,5,44,"#N/A",1,1,1970.249,1970,1,2,1,1,1,1
1970.5,3,44,"#N/A",1,0.25,1969.625,NA,NA,1,NA,1,1,1
1970.5,1,44,"#N/A",1,0.5,1970.125,NA,NA,1,NA,1,1,1
1970.75,1,44,"#N/A",1,0.33,1970.125,NA,NA,1,NA,1,1,1
